Name : 75lin105
DIMENSION : 105
GTSP_SETS : 75
NODE_COORD_SECTION
1 63  71
2 94  71
3 142  370
4 173  1276
5 205  1213
6 213  69
7 244  69
8 276  630
9 283  732
10 362  69
11 394  69
12 449  370
13 480  1276
14 512  1213
15 528  157
16 583  630
17 591  732
18 638  654
19 638  496
20 638  314
21 638  142
22 669  142
23 677  315
24 677  496
25 677  654
26 709  654
27 709  496
28 709  315
29 701  142
30 764  220
31 811  189
32 843  173
33 858  370
34 890  1276
35 921  1213
36 992  630
37 1000  732
38 1197  1276
39 1228  1213
40 1276  205
41 1299  630
42 1307  732
43 1362  654
44 1362  496
45 1362  291
46 1425  654
47 1425  496
48 1425  291
49 1417  173
50 1488  291
51 1488  496
52 1488  654
53 1551  654
54 1551  496
55 1551  291
56 1614  291
57 1614  496
58 1614  654
59 1732  189
60 1811  1276
61 1843  1213
62 1913  630
63 1921  732
64 2087  370
65 2118  1276
66 2150  1213
67 2189  205
68 2220  189
69 2220  630
70 2228  732
71 2244  142
72 2276  315
73 2276  496
74 2276  654
75 2315  654
76 2315  496
77 2315  315
78 2331  142
79 2346  315
80 2346  496
81 2346  654
82 2362  142
83 2402  157
84 2402  220
85 2480  142
86 2496  370
87 2528  1276
88 2559  1213
89 2630  630
90 2638  732
91 2756  69
92 2787  69
93 2803  370
94 2835  1276
95 2866  1213
96 2906  69
97 2937  69
98 2937  630
99 2945  732
100 3016  1276
101 3055  69
102 3087  69
103 606  220
104 1165  370
105 1780  370
GTSP_SET_SECTION
1 23 -1
2 64 -1
3 84 -1
4 52 -1
5 89 -1
6 42 -1
7 8 -1
8 95 -1
9 26 -1
10 1 -1
11 44 -1
12 36 -1
13 34 -1
14 49 -1
15 56 -1
16 46 -1
17 20 -1
18 67 -1
19 94 -1
20 98 -1
21 21 -1
22 41 -1
23 71 -1
24 30 -1
25 15 -1
26 53 -1
27 47 -1
28 50 -1
29 13 14 -1
30 18 -1
31 19 -1
32 54 57 -1
33 77 -1
34 12 -1
35 22 -1
36 7 -1
37 72 -1
38 74 -1
39 60 -1
40 38 39 -1
41 33 -1
42 75 -1
43 3 -1
44 90 -1
45 100 -1
46 78 -1
47 4 -1
48 101 -1
49 16 -1
50 91 -1
51 63 -1
52 70 -1
53 76 -1
54 17 -1
55 2 -1
56 6 -1
57 79 -1
58 85 -1
59 73 -1
60 32 -1
61 65 -1
62 93 -1
63 40 -1
64 24 -1
65 37 -1
66 69 -1
67 10 -1
68 45 -1
69 59 -1
70 43 -1
71 96 97 -1
72 87 88 -1
73 11 -1
74 86 -1
75 62 -1
