Name : 16eil51-4x4
DIMENSION : 51
GTSP_SETS : 16
NODE_COORD_SECTION
1 37  52
2 49  49
3 52  64
4 20  26
5 40  30
6 21  47
7 17  63
8 31  62
9 52  33
10 51  21
11 42  41
12 31  32
13 5  25
14 12  42
15 36  16
16 52  41
17 27  23
18 17  33
19 13  13
20 57  58
21 62  42
22 42  57
23 16  57
24 8  52
25 7  38
26 27  68
27 30  48
28 43  67
29 58  48
30 58  27
31 37  69
32 38  46
33 46  10
34 61  33
35 62  63
36 63  69
37 32  22
38 45  35
39 59  15
40 5  6
41 10  17
42 21  10
43 5  64
44 30  15
45 39  10
46 32  39
47 25  32
48 25  55
49 48  28
50 56  37
51 30  40
GTSP_SET_SECTION
1 7 -1
2 8 -1
3 22 -1
4 3 -1
5 14 -1
6 6 27 51 -1
7 1 32 -1
8 16 -1
9 13 -1
10 4 -1
11 5 -1
12 9 50 -1
13 19 40 -1
14 42 -1
15 15 -1
16 10 -1
