Name : 20eil51-4x5
DIMENSION : 51
GTSP_SETS : 20
NODE_COORD_SECTION
1 37  52
2 49  49
3 52  64
4 20  26
5 40  30
6 21  47
7 17  63
8 31  62
9 52  33
10 51  21
11 42  41
12 31  32
13 5  25
14 12  42
15 36  16
16 52  41
17 27  23
18 17  33
19 13  13
20 57  58
21 62  42
22 42  57
23 16  57
24 8  52
25 7  38
26 27  68
27 30  48
28 43  67
29 58  48
30 58  27
31 37  69
32 38  46
33 46  10
34 61  33
35 62  63
36 63  69
37 32  22
38 45  35
39 59  15
40 5  6
41 10  17
42 21  10
43 5  64
44 30  15
45 39  10
46 32  39
47 25  32
48 25  55
49 48  28
50 56  37
51 30  40
GTSP_SET_SECTION
1 7 -1
2 8 -1
3 22 -1
4 3 -1
5 24 -1
6 6 -1
7 1 32 -1
8 29 -1
9 14 25 -1
10 12 51 -1
11 11 -1
12 9 -1
13 13 -1
14 4 -1
15 5 -1
16 10 -1
17 19 -1
18 42 44 -1
19 15 33 -1
20 39 -1
