Name : 10i75-22
DIMENSION : 75
NUMBER_OF_CLUSTERS: 10
NODE_COORD_SECTION
1 74  156
2 -36  1109
3 790  1013
4 679  1031
5 453  822
6 1149  81
7 -69  1114
8 811  824
9 205  1019
10 312  7
11 918  1015
12 502  86
13 547  128
14 680  99
15 517  969
16 864  787
17 -29  230
18 -58  23
19 505  944
20 80  913
21 466  943
22 291  186
23 544  47
24 631  770
25 -138  964
26 -248  910
27 260  918
28 286  872
29 1009  956
30 966  47
31 371  86
32 818  1052
33 183  140
34 470  -125
35 774  949
36 642  853
37 967  838
38 -104  256
39 358  561
40 863  269
41 468  974
42 218  167
43 472  -75
44 19  907
45 142  276
46 1007  128
47 517  206
48 306  776
49 162  105
50 224  833
51 540  154
52 383  642
53 578  888
54 350  716
55 1105  98
56 438  614
57 350  893
58 -34  914
59 648  851
60 324  255
61 800  955
62 997  -27
63 501  881
64 353  213
65 569  -94
66 426  152
67 423  675
68 597  967
69 778  867
70 1007  77
71 357  239
72 216  679
73 337  95
74 345  635
75 863  1025	
CLUSTER_SECTION:
1 6 -1
2 14 -1
3 2 44 -1
4 10 12 34 -1
5 5 -1
6 23 31 40 -1
7 1 45 49 -1
8 27 -1
9 4 24 68 -1
10 3 -1
